time_s,forward_cm,sideways_cm,forward_speed_cm_s
2.249999999999962697e+00,2.494327745794814462e+02,-3.623766078783788869e-01,1.219296051301320887e+02
2.259999999999961595e+00,2.506240621652413552e+02,-3.576719070813687562e-01,1.173789633948348268e+02
2.269999999999960494e+00,2.518345416220076629e+02,-3.528695833361971124e-01,1.232191926057884359e+02
2.279999999999959392e+00,2.530402100327540893e+02,-3.591527873204626853e-01,1.218640600779171024e+02
2.289999999999958291e+00,2.542449554581156121e+02,-3.697191334062938650e-01,1.187306355612234512e+02
2.299999999999957190e+00,2.554711115864371038e+02,-4.024331870373374920e-01,1.219849679323685336e+02
2.309999999999956088e+00,2.566802700853473311e+02,-4.424212781998941857e-01,1.203951736146672431e+02
2.319999999999954987e+00,2.578563375331884231e+02,-4.937994003047688207e-01,1.154956407342513813e+02
2.329999999999953886e+00,2.590449692871105185e+02,-5.373236130415615097e-01,1.207273515589242834e+02
2.339999999999952784e+00,2.602209425180481617e+02,-5.844422249842718964e-01,1.155693697615344888e+02
2.349999999999951683e+00,2.614206914838837292e+02,-6.182371633408824119e-01,1.197283464855170934e+02
2.359999999999950582e+00,2.626157728526619053e+02,-6.503542368488323122e-01,1.193456344391636605e+02
2.369999999999949480e+00,2.637828584483544319e+02,-6.780583466220632127e-01,1.146298163747838146e+02
2.379999999999948379e+00,2.649609990392327177e+02,-7.085758258015102395e-01,1.196019515901569150e+02
2.389999999999947278e+00,2.661406728671298652e+02,-7.443617885181850191e-01,1.177848834197213250e+02
2.399999999999946176e+00,2.673169303342004355e+02,-7.822864427325699754e-01,1.175674730625291033e+02
2.409999999999945075e+00,2.684972492595933318e+02,-8.229174934795256968e-01,1.183407878039770935e+02
2.419999999999943974e+00,2.696667927010619792e+02,-8.734742332409438648e-01,1.154850304274663131e+02
2.429999999999942872e+00,2.708644912901067414e+02,-9.223983628206721130e-01,1.222668622485987271e+02
2.439999999999941771e+00,2.720431402717234732e+02,-9.750009157810978211e-01,1.174182423288138182e+02
2.449999999999940670e+00,2.732537619004075964e+02,-1.025886696863143710e+00,1.227506618618742209e+02
2.459999999999939568e+00,2.744729397294098590e+02,-1.077472603792615669e+00,1.215641516285542565e+02
2.469999999999938467e+00,2.756841130851915977e+02,-1.130845827474895149e+00,1.206674581378910318e+02
2.479999999999937366e+00,2.768843609372323158e+02,-1.181510506783749692e+00,1.196356069962960760e+02
2.489999999999936264e+00,2.780585486828563262e+02,-1.232098824021485628e+00,1.155066679985186937e+02
2.499999999999935163e+00,2.792435311902149806e+02,-1.277532022808104850e+00,1.205860229904810694e+02
2.509999999999934062e+00,2.804124830136538549e+02,-1.321464675907559894e+00,1.164578192006677284e+02
2.519999999999932960e+00,2.816094886166146125e+02,-1.369014872590502030e+00,1.211724977131244430e+02
2.529999999999931859e+00,2.828040308941219791e+02,-1.421040525653981312e+00,1.199090840226150618e+02
2.539999999999930758e+00,2.839992894500619514e+02,-1.474692025901960468e+00,1.193118712937835824e+02
