time_s,phase,heading_x,heading_y,x_cm,y_cm,vx_cm_s,vy_cm_s
7.469999999999999751e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.632145109202510298e+02,-4.042405650986318619e+02,-1.161269753366024560e+01,-1.226280820891131498e+02
7.480000000000000426e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.630918507091574270e+02,-4.054416398241010029e+02,-1.278511472303719998e+01,-1.183206662132783435e+02
7.490000000000000213e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.629779312100936295e+02,-4.066674280644460282e+02,-1.147432132870419075e+01,-1.229328068127711617e+02
7.500000000000000000e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.628603873072532338e+02,-4.078866915008625824e+02,-1.190071893662046065e+01,-1.214318121193419131e+02
7.509999999999999787e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.627408761659280572e+02,-4.090937852742622454e+02,-1.201727756589151141e+01,-1.202767436919896795e+02
7.520000000000000462e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.626097041978514426e+02,-4.102748896835758501e+02,-1.413976258227416771e+01,-1.163953643424412263e+02
7.530000000000000249e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.624893201352398933e+02,-4.114703088523352790e+02,-1.103828440588887361e+01,-1.214797040513671220e+02
7.540000000000000036e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.623651340954577904e+02,-4.126713814865485688e+02,-1.216078949775654294e+01,-1.207220900597949935e+02
7.549999999999999822e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.622415345472898593e+02,-4.138568181797145371e+02,-1.282493587308884919e+01,-1.167543706542741688e+02
7.560000000000000497e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.621195678680545029e+02,-4.150653999565629420e+02,-1.228136213838820190e+01,-1.228588400571733104e+02
7.570000000000000284e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.619974153904593095e+02,-4.162838357351197374e+02,-1.217115971026563415e+01,-1.215124451357387727e+02
7.580000000000000071e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.618776505767685308e+02,-4.174920648535281771e+02,-1.187294050665172307e+01,-1.203690481439218871e+02
7.589999999999999858e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.617567799159052697e+02,-4.186922349431370094e+02,-1.223073989277748375e+01,-1.196651570397167887e+02
7.600000000000000533e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.616357290047961328e+02,-4.198874374082079726e+02,-1.211032889778576838e+01,-1.193964632060084483e+02
7.610000000000000320e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.614948951398340569e+02,-4.210373644900528234e+02,-1.570195889351785290e+01,-1.119920382624108584e+02
7.620000000000000107e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.613903840901476769e+02,-4.222379638229467673e+02,-1.008115936330258222e+01,-1.224239694680999264e+02
7.629999999999999893e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.612720028380608710e+02,-4.234362618145761985e+02,-1.212554229168881115e+01,-1.179168365448565226e+02
