time_s,x_m,y_m,z_m,vx_m_s,deck_clearance_cm
1.75,1.0172147596894756,-0.025658677674726918,0.4194237070928688,-0.07217698050116761,1.9423707092868807
1.76,1.0163161086886041,-0.025365959328484195,0.4186558995422038,-0.09982739264076423,1.8655899542203787
1.77,1.0152226150350452,-0.02487683247763118,0.4183023810003547,-0.11456856388349367,1.8302381000354724
1.78,1.014036227285391,-0.024253524398968294,0.41846885912931686,-0.12076220714019792,1.8468859129316866
1.79,1.0128197390224964,-0.023538673864695808,0.41914337173167343,-0.12198690273950905,1.9143371731673438
1.8,1.0116045205837378,-0.022757815625742486,0.4202283844394347,-0.12114608657989319,2.022838443943473
1.81,1.0104050946328218,-0.02192670852103434,0.4215772907298566,-0.11907488684996868,2.1577290729856617
1.82,1.0092314883711835,-0.02106427825289076,0.4230324723622621,-0.1161052514501882,2.303247236226211
1.83,1.0080943818339865,-0.020196133911323876,0.42444602650075025,-0.11193068296726863,2.4446026500750255
1.84,1.00700879220068,-0.019354903969341974,0.42570211026938143,-0.10607612949491488,2.5702110269381433
1.85,1.0059939165158562,-0.018571622708767426,0.42672656095932265,-0.09810537612799172,2.672656095932266
1.86,1.005073397411176,-0.01787800958617476,0.4274808961681091,-0.08764965347759641,2.748089616810909
1.87,1.0042738164671268,-0.017305600734118846,0.4279596014447465,-0.07449341193871109,2.795960144474649
1.8800000000000001,1.0036207778400308,-0.016879215264346666,0.4281842451406874,-0.058919931654599855,2.818424514068743
1.8900000000000001,1.0031328324037694,-0.01661576668088172,0.428189872335854,-0.04187898705204492,2.818987233585399
1.9000000000000001,1.0028201337542348,-0.016525626988757616,0.42802259885364524,-0.02410462385986414,2.8022598853645246
1.9100000000000001,1.0026849143459946,-0.016608727917412726,0.42772784117678886,-0.0064825866745896535,2.7727841176788863
1.92,1.0027207962579998,-0.016854726019577174,0.42734591307315006,0.01020983519446967,2.7345913073150068
1.93,1.0029129133679198,-0.0172559512423441,0.4269247323400401,0.025053006307586008,2.6924732340040087
1.94,1.003239314638242,-0.01778882519362769,0.4264862618561977,0.03752219463921653,2.648626185619771
1.95,1.0036741419646549,-0.01842297058871641,0.4260426129350233,0.047291187837421506,2.604261293502333
1.96,1.0041896562904562,-0.01912623565957434,0.42560406755454566,0.054252933155544254,2.560406755454567
1.97,1.004758163825264,-0.0198664136940976,0.42518076676983524,0.058479332806571,2.5180766769835246
1.98,1.0053533692567984,-0.020613807634107164,0.4247794610300632,0.06016809749278972,2.4779461030063206
1.99,1.005952299259732,-0.02134039245295913,0.4244082947077619,0.05970584224578627,2.440829470776193
2.0,1.0065362334485952,-0.022020186749702474,0.4240778821420998,0.05755029825683496,2.40778821420998
2.0100000000000002,1.0070909681385902,-0.022630015563397814,0.4237998446975733,0.05414529929447647,2.379984469757332
2.02,1.0076069532299188,-0.02315098187077135,0.42358458127825,0.04996682236106873,2.358458127825
2.0300000000000002,1.0080792055157064,-0.023568416901566618,0.4234411720581192,0.04545551335143678,2.3441172058119215
2.04,1.008506825267721,-0.023871842705112237,0.42337752883299135,0.04101939128762375,2.337752883299135
2.05,1.0088936900702818,-0.024054830720820698,0.4234007588406549,0.037140673671067576,2.340075884065493
2.06,1.0092468905615164,-0.024113805702505556,0.423515752362299,0.034035608220601005,2.3515752362298996
2.07,1.0095736651261107,-0.024049202600006876,0.42372119608098896,0.03165858380829198,2.3721196080988967
2.08,1.0098845489220587,-0.02386234236578218,0.42401491312798084,0.030513120647136172,2.401491312798085
2.09,1.0101922710347033,-0.023555252820337085,0.4243935147377988,0.030649648935921522,2.43935147377988
2.1,1.0105103061051883,-0.023132362066263953,0.4248529014297824,0.03216472919084859,2.4852901429782386
2.11,1.0108520002637904,-0.022601650653476964,0.42538844790454106,0.034983457055974845,2.5388447904541063
2.12,1.0112296034272623,-0.021974001267441343,0.4259919681868181,0.038977313100796544,2.599196818681812
2.13,1.0116538485652797,-0.021263158965635756,0.42665129905729615,0.043982587532842496,2.6651299057296156
2.14,1.0121337671733905,-0.020486123795650884,0.4273510233579492,0.049827019748473984,2.735102335794923
2.15,1.0126765819851196,-0.01966329999342301,0.4280734709652386,0.056327126983197015,2.8073470965238627
2.16,1.0132875808900506,-0.018818512144372523,0.4287997457356221,0.0632855829565853,2.8799745735622078
2.17,1.0139485330163276,-0.018003110825572797,0.42947747720290463,0.06714146541996348,2.947747720290464
2.18,1.0146278431994553,-0.017292101809932937,0.4300399526966855,0.06785216991812175,3.0039952696685495
2.19,1.015303786200502,-0.016754950192890906,0.43045036220752836,0.06695957053081014,3.0450362207528365
2.2,1.015966390491324,-0.016448075274843803,0.43069917137021685,0.06545395449943692,3.0699171370216853
2.21,1.0166137449464867,-0.016408762874496642,0.4307990049953616,0.0640257307617186,3.0799004995361616
2.22,1.0172484169262561,-0.016650531500259674,0.43078266135100896,0.06269165713536616,3.078266135100896
2.23,1.0178666844254936,-0.01717313586535808,0.4306958221266956,0.06101363409646805,3.069582212669561
2.24,1.0184680702406324,-0.01794302582688975,0.4305643745674686,0.059331827197494316,3.0564374567468606
2.25,1.0190482206415237,-0.01890685164899328,0.4304079758600709,0.05712510033990442,3.040797586007091
2.2600000000000002,1.0196073000889119,-0.019996946447478778,0.43024494920315404,0.054948353528290673,3.024494920315404
2.27,1.0201420691553291,-0.02113879132863666,0.43008905382785845,0.052377113171494044,3.008905382785845
2.2800000000000002,1.0206101778074959,-0.0222992074273249,0.4298924673777141,0.04346633540411302,2.989246737771409
2.29,1.0209636021399529,-0.023476181554089773,0.42959807329721617,0.030658396865602348,2.959807329721617
2.3000000000000003,1.0211671517542302,-0.02462049805132472,0.42921627306012294,0.015089702993413778,2.921627306012295
2.31,1.0212228075010636,-0.025787882912339317,0.4287371040153208,0.00041391205473185685,2.8737104015320787
2.32,1.0211326698967436,-0.02697923432754945,0.42818864813314067,-0.014002215164596656,2.8188648133140677
2.33,1.0208991481015852,-0.028195704543969507,0.4275992336006723,-0.028208323195832073,2.7599233600672317
2.34,1.0205224151026637,-0.029425099816663774,0.42698983840452687,-0.04246601484085266,2.698983840452687
2.35,1.0200162585623391,-0.030625897291898192,0.4263999421678355,-0.055189120315271095,2.6399942167835504
2.36,1.0193847327584733,-0.031804049882639095,0.42583691161452975,-0.06716304055532674,2.583691161452975
2.37,1.018635904531042,-0.032946034147139765,0.42532849254415495,-0.07846666095679826,2.532849254415495
2.38,1.0177829041630475,-0.03404667509063788,0.4249023689014479,-0.08865134334811081,2.4902368901447898
2.39,1.0168339545139924,-0.03509921160960773,0.42456449039866134,-0.09776453244993316,2.456449039866135
2.4,1.0158046268147105,-0.03609815286749788,0.4243091088718707,-0.1050820583016439,2.430910887187068
2.41,1.014714229950822,-0.03703472430074653,0.42412219394935935,-0.11042394045749408,2.4122193949359354
2.42,1.0135870041607276,-0.03789284802540565,0.4239952934563231,-0.11299157663638827,2.3995293456323092
2.43,1.012204798560157,-0.03856563668099753,0.4236752818533793,-0.16015575812854235,2.367528185337933
2.44,1.010363931775843,-0.03895354016769815,0.4229591868598261,-0.19622011212093549,2.2959186859826093
2.45,1.0082940734349903,-0.03909425028783632,0.4221492588030228,-0.21112812222124283,2.214925880302279
2.46,1.0061806711068584,-0.038996439483198614,0.4214854046935505,-0.20935103764888044,2.148540469355051
2.47,1.004164697467183,-0.03864769865055203,0.42114242459844686,-0.1950590296337912,2.1142424598446867
2.48,1.0023491540004064,-0.03802712239855489,0.4212237113183803,-0.17189447397398927,2.1223711318380327
2.49,1.0008006889816001,-0.037108840677819326,0.4217674189802514,-0.14353193033854997,2.176741898025139
2.5,0.9995556738477747,-0.03586393255685286,0.4227539257362734,-0.1123138239508398,2.2753925736273413
2.5100000000000002,0.9986339394234602,-0.03426986790225795,0.42412259287203596,-0.07969981781621714,2.412259287203597
2.52,0.9980419134351035,-0.03231407891338005,0.4257777005587203,-0.046843592847178706,2.577770055872028
2.5300000000000002,0.9977799464549542,-0.029992661239448208,0.4276030126218549,-0.013935325864421241,2.760301262185491
2.54,0.9978590974242519,-0.02733658903198539,0.4294860812235519,0.021350318490683272,2.9486081223551923
2.5500000000000003,0.9983416238749123,-0.024347962986332,0.4313195971853083,0.06400786780866294,3.1319597185308328
2.56,0.9992854926116075,-0.020885447016174875,0.433105918755613,0.11158551751981521,3.3105918755613
2.57,1.0007472114799887,-0.01694731491680878,0.43498145362779905,0.16593525868386427,3.4981453627799057
2.58,1.0027760994641195,-0.012613014181818637,0.43713250088048966,0.22328366858188395,3.7132500880489667
2.59,1.0053606997675948,-0.008055754757914506,0.43956654399915596,0.2736647792164763,3.956654399915596
2.6,1.0083175963023636,-0.0035715227987578057,0.4421285220169069,0.3032409055576472,4.21285220169069
2.61,1.0114014587628992,0.0006729817674784076,0.44444793808723737,0.3056906244407001,4.4447938087237375
2.62,1.014334673045748,0.004632742653300596,0.44609784180685025,0.28425211678781087,4.6097841806850255
2.63,1.016990663477625,0.008264603388498415,0.4468136818693801,0.2553775533774299,4.681368186938009
2.64,1.0193945861275022,0.011469567577331306,0.4465820091055273,0.24137472605586197,4.658200910552732
2.65,1.0218083698328222,0.01412194150036183,0.4457801711634506,0.2470246596854379,4.57801711634506
2.66,1.0243440658949419,0.016196232287608334,0.44439325886406517,0.25901693894196015,4.439325886406517
2.67,1.0270423929970351,0.01773347018830623,0.4424460566754976,0.2776382903641795,4.2446056675497585
2.68,1.0296036769619148,0.018490878328292572,0.4401726464884686,0.24177202637620326,4.017264648846861
2.69,1.032665452232152,0.019036045815487186,0.437351111908035,0.348487446884618,3.7351111908035
2.7,1.0358594993633048,0.019277348575978813,0.43419525381760554,0.30524901976953,3.419525381760555
2.71,1.0396318393371204,0.019345596178552287,0.4305615827115061,0.38324596605653877,3.056158271150608
2.72,1.0435875278001234,0.018754737291163948,0.4267627870044652,0.4030499600033243,2.676278700446519
2.73,1.04771496037084,0.01741412571809079,0.42284919305933455,0.41819389733352186,2.2849193059334554
2.74,1.0516050465032993,0.015490890556156146,0.4190887439363962,0.36707375981689594,1.908874393639623
2.75,1.0558589481770606,0.012662688803429979,0.41526184484594963,0.4629572276394901,1.526184484594964
2.7600000000000002,1.0601212160498392,0.009127430631200285,0.4116585586973205,0.40248045563126744,1.1658558697320491
2.77,1.0648953917455553,0.004652436761915267,0.4082767223387458,0.48148919934404694,0.8276722338745796
2.7800000000000002,1.0698878003440797,-0.0006069952571806422,0.40551009736585203,0.5125354880516393,0.5510097365852035
2.79,1.0752538440943373,-0.0065639437986876195,0.4035283583137926,0.55455245318826,0.35283583137925845
2.8000000000000003,1.0810863878812942,-0.012709145556719807,0.40246725570862424,0.6026646078431195,0.24672557086242441
2.81,1.0873654553547611,-0.01878019652274054,0.40202761374038815,0.6427489478980096,0.2027613740388151
2.82,1.0939689195104698,-0.024612081086971653,0.4019751680442563,0.6683073787872407,0.19751680442563202
2.83,1.1007062159856635,-0.030081196821726414,0.402060839586018,0.6733765580942024,0.20608395860180206
2.84,1.1072949826259755,-0.034907129870754706,0.4021540770740769,0.6436314609748123,0.21540770740769155
2.85,1.1131344717602651,-0.038661206626410816,0.4025525881496356,0.548144665577549,0.2552588149635632
2.86,1.1177866025433734,-0.041018186916348176,0.40372577463332354,0.41437663741121666,0.37257746333235475
2.87,1.1208764891746874,-0.041938202108907446,0.40519094404568645,0.24541142494378268,0.5190944045686458
2.88,1.1225840076503675,-0.0412940365982881,0.40802751011315236,0.16094822233579595,0.8027510113152364
2.89,1.1249043098592943,-0.03975002245061746,0.41408866619677487,0.27924329367809964,1.4088666196774873
2.9,1.128088470204912,-0.037744298628687514,0.4216270665025418,0.34384943407715884,2.1627066502541785
2.91,1.1317711661572076,-0.03526426011402371,0.42955676226030554,0.3881850560699617,2.9556762260305542
2.92,1.1355389321286364,-0.03265472942571724,0.4380115905089511,0.36402525560376603,3.8011590508951114
2.93,1.1398256535144928,-0.030490536115285738,0.44612214238661113,0.4683054027984491,4.612214238661114
2.94,1.1441570246258117,-0.02841206480910511,0.4533730054163044,0.4533995299914135,5.337300541630438
2.95,1.1486780612961982,-0.026497264432365858,0.45958553325204504,0.451295624957401,5.958553325204504
2.96,1.153214251784675,-0.024587208259488937,0.46482007035666767,0.4536082407062024,6.482007035666768
2.97,1.1577732718926295,-0.022687473845014575,0.4690695359825725,0.4556366162196021,6.906953598257251
2.98,1.1623503750820097,-0.020793831860451584,0.4723334386659659,0.45718151550212494,7.23334386659659
2.99,1.1669418822887303,-0.018903347896743534,0.47461211897802597,0.45840011363621624,7.461211897802597
3.0,1.1715190081604563,-0.017007710438663143,0.4759131767394194,0.45734087996199996,7.5913176739419415
3.0100000000000002,1.1760843954062048,-0.015107157204599595,0.47623770944124444,0.4563152258560382,7.623770944124445
3.02,1.1802524415692113,-0.013055340175141053,0.4758066514453737,0.37912201627457676,7.580665144537371
3.0300000000000002,1.1847588616793345,-0.011077741884850731,0.4742724528872164,0.4928187088044256,7.427245288721643
3.04,1.1894091675549956,-0.009121790590143598,0.47169809490715014,0.4708236926744492,7.169809490715015
3.0500000000000003,1.1941370612317344,-0.007173815160626867,0.46810531489445095,0.4694191306374155,6.810531489445096
3.06,1.1988463569281518,-0.005193822195489475,0.4635307400904072,0.4682115680308074,6.353074009040719
3.0700000000000003,1.2035478758174798,-0.0032141725947312716,0.45795663812202086,0.46755542801727895,5.795663812202087
3.08,1.2082400140997245,-0.0012315390942317906,0.4513942808846484,0.4648138107045949,5.13942808846484
3.09,1.2128373925472773,0.0007172874636342716,0.4442541426333979,0.45671275298119773,4.425414263339792
3.1,1.2175303793309273,0.002297934334527195,0.4371769039287929,0.47820887194851014,3.717690392879289
3.11,1.2226761275918354,0.0030435955204464737,0.4307888252287107,0.5383943171908342,3.078882522871071
3.12,1.2286439767569384,0.002459955840638941,0.42569517047213307,0.6333815221748239,2.5695170472133073
3.13,1.2355135899103866,0.00039208392810197103,0.4218594667265736,0.7199392715604996,2.18594667265736
3.14,1.2431842819291403,-0.0030891753235587995,0.41900723651392474,0.7981163361801114,1.9007236513924748
3.15,1.2504920296724098,-0.0074238594246967314,0.41693662150643457,0.6727679371381118,1.6936621506434575
3.16,1.2581367087608981,-0.01149551027810498,0.4142528527851242,0.8180335862861574,1.42528527851242
3.17,1.2659058854515945,-0.016062789802977227,0.41147003659793,0.7319767919837361,1.1470036597930027
3.18,1.274928075622886,-0.020209530094606458,0.40946350021010736,0.928117611851819,0.9463500210107362
3.19,1.2850437513421413,-0.02367262661553871,0.41005298993140055,1.0653536809385642,1.0052989931400553
3.2,1.2967188911333394,-0.02640883337645487,0.4138633742004252,1.2328149561271715,1.3863374200425187
3.21,1.3094643238183252,-0.02847283502624739,0.420580672851197,1.2894251487281823,2.0580672851196997
3.22,1.3231409787053539,-0.02995614812305632,0.42773795239480966,1.4181179833068325,2.773795239480967
3.23,1.3373376203444898,-0.030519633928994972,0.4338786805986124,1.406952028159942,3.3878680598612405
3.24,1.3520788089496658,-0.030829658992714518,0.43876349946328497,1.4718142614876009,3.876349946328497
3.25,1.3660746749686699,-0.03095688053058096,0.44307531039243664,1.3507585940896178,4.307531039243664
3.2600000000000002,1.380603794634036,-0.031018266854275778,0.4461721327591278,1.5179097231456449,4.617213275912782
3.27,1.3946186398164122,-0.03114730957284262,0.44856654165037463,1.3432428443713622,4.8566541650374635
3.2800000000000002,1.4094770252811115,-0.03117024337517007,0.4500367609192834,1.529512874320328,5.003676091928341
3.29,1.4243018330396398,-0.03120292686119113,0.45085156260272474,1.4480070886520422,5.085156260272475
