step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
1810,18.1,-0.663,-1.0948,1.2799,0.188,0.7201,0.3603,-0.2336,move,roam_forward_cruise,0
1820,18.2,-0.6227,-1.0838,1.2499,0.1856,0.7501,0.4766,-0.3736,move,roam_forward_cruise,0
1830,18.3,-0.5748,-1.063,1.2084,0.1825,0.7916,0.5565,-0.4394,move,roam_forward_cruise,0
1840,18.4,-0.5236,-1.0426,1.1667,0.187,0.8333,0.5655,-0.4163,move,roam_forward_cruise,0
1850,18.5,-0.4678,-1.0185,1.1208,0.184,0.8792,0.7295,-0.5697,move,roam_forward_cruise,0
1860,18.6,-0.408,-0.9909,1.0717,0.1832,0.9283,0.7564,-0.5666,move,roam_forward_cruise,0
1870,18.7,-0.3487,-0.9653,1.0263,0.188,0.9737,0.5984,-0.4164,move,roam_forward_cruise,0
1880,18.8,-0.3075,-0.9466,0.9953,0.1951,1.0047,0.3985,-0.2713,move,roam_forward_cruise,0
1890,18.9,-0.2712,-0.928,0.9668,0.1925,1.0332,0.4595,-0.329,move,roam_forward_cruise,0
1900,19.0,-0.2292,-0.9052,0.9338,0.1834,1.0662,0.428,-0.2732,curve,roam_curve_left,0
1910,19.1,-0.2039,-0.8853,0.9085,0.1865,1.0915,0.3227,-0.3142,curve,roam_curve_left,0
1920,19.2,-0.2071,-0.8604,0.885,0.1866,1.115,0.3693,-0.2998,curve,roam_curve_left,0
1930,19.3,-0.2176,-0.8289,0.857,0.1824,1.143,0.3694,-0.3078,curve,roam_curve_left,0
1940,19.4,-0.2306,-0.7893,0.8223,0.1817,1.1777,0.4377,-0.3675,curve,roam_curve_left,0
1950,19.5,-0.2404,-0.7496,0.7873,0.1856,1.2127,0.3802,-0.3287,curve,roam_curve_left,0
1960,19.6,-0.2476,-0.7089,0.7509,0.1859,1.2491,0.378,-0.342,curve,roam_curve_left,0
1970,19.7,-0.2515,-0.6652,0.7112,0.1828,1.2888,0.4547,-0.4125,curve,roam_curve_left,0
1980,19.8,-0.2533,-0.6186,0.6684,0.1827,1.3316,0.4795,-0.4407,turn,roam_pivot_turn,0
1990,19.9,-0.2492,-0.5798,0.6311,0.1913,1.3689,0.2199,-0.2195,turn,roam_pivot_turn,0
2000,20.0,-0.2388,-0.5742,0.6219,0.195,1.3781,0.2099,-0.0533,turn,roam_pivot_turn,0
2010,20.1,-0.2338,-0.5894,0.6341,0.1826,1.3659,0.1852,0.1821,turn,roam_pivot_turn,0
2020,20.2,-0.2477,-0.6005,0.6496,0.1825,1.3504,0.1952,0.1292,turn,roam_pivot_turn,0
2030,20.3,-0.2715,-0.5993,0.658,0.1881,1.342,0.217,0.0367,stop,roam_stance_pause,0
2040,20.4,-0.2855,-0.5937,0.6587,0.1935,1.3413,0.1023,-0.0004,stop,roam_stance_pause,0
2050,20.5,-0.2903,-0.5916,0.659,0.1932,1.341,0.0141,0.0025,stop,roam_stance_pause,0
2060,20.6,-0.285,-0.5918,0.6568,0.1899,1.3432,0.1145,-0.111,curve,roam_curve_right,0
2070,20.7,-0.2736,-0.5944,0.6543,0.1819,1.3457,0.1444,-0.0523,curve,roam_curve_right,0
2080,20.8,-0.2601,-0.5957,0.65,0.1802,1.35,0.1457,-0.034,curve,roam_curve_right,0
2090,20.9,-0.2471,-0.599,0.648,0.1809,1.352,0.1047,-0.0189,curve,roam_curve_right,0
2100,21.0,-0.2298,-0.6013,0.6437,0.1831,1.3563,0.1907,-0.0614,curve,roam_curve_right,0
2110,21.1,-0.2104,-0.6021,0.6378,0.1821,1.3622,0.1928,-0.0518,curve,roam_curve_right,0
2120,21.2,-0.1866,-0.6029,0.6312,0.1809,1.3688,0.2913,-0.0804,curve,roam_curve_right,0
2130,21.3,-0.1584,-0.6062,0.6266,0.1835,1.3734,0.304,-0.0068,curve,roam_curve_right,0
2140,21.4,-0.1252,-0.6154,0.628,0.1836,1.372,0.3625,0.0139,curve,roam_curve_right,0
2150,21.5,-0.0886,-0.6246,0.6308,0.1842,1.3692,0.4045,0.0692,curve,roam_curve_right,0
2160,21.6,-0.0463,-0.6382,0.6399,0.1809,1.3601,0.4527,0.1008,curve,roam_curve_right,0
2170,21.7,-0.0082,-0.6468,0.6468,0.1906,1.3532,0.3258,0.0212,move,roam_forward_cruise,0
2180,21.8,0.0101,-0.6395,0.6396,0.1919,1.3604,0.1485,-0.1026,move,roam_forward_cruise,0
2190,21.9,0.0036,-0.609,0.609,0.1893,1.391,0.3794,-0.3688,move,roam_forward_cruise,0
2200,22.0,-0.0105,-0.5579,0.558,0.186,1.442,0.627,-0.6051,move,roam_forward_cruise,0
2210,22.1,-0.0227,-0.5032,0.5037,0.1861,1.4963,0.5922,-0.5731,move,roam_forward_cruise,0
2220,22.2,-0.0381,-0.4432,0.4449,0.1841,1.5551,0.6787,-0.6247,move,roam_forward_cruise,0
2230,22.3,-0.0554,-0.3823,0.3863,0.1829,1.6137,0.78,-0.73,move,roam_forward_cruise,0
2240,22.4,-0.0716,-0.3148,0.3228,0.185,1.6772,0.7018,-0.6336,move,roam_forward_cruise,0
2250,22.5,-0.088,-0.2438,0.2592,0.1847,1.7408,0.7563,-0.6475,move,roam_forward_cruise,0
2260,22.6,-0.1024,-0.1685,0.1972,0.1821,1.8028,0.7689,-0.5722,curve,roam_curve_left,0
2270,22.7,-0.1192,-0.093,0.1512,0.1848,1.8488,0.7841,-0.324,curve,roam_curve_left,0
2280,22.8,-0.1384,-0.0118,0.1389,0.1827,1.8611,0.8139,0.1135,curve,roam_curve_left,0
2290,22.9,-0.1567,0.0682,0.1709,0.1857,1.8291,0.8104,0.4755,curve,roam_curve_left,0
2300,23.0,-0.1733,0.1525,0.2309,0.1852,1.7691,0.8452,0.6702,curve,roam_curve_left,0
2310,23.1,-0.1874,0.2361,0.3014,0.1835,1.6986,0.8618,0.7486,curve,roam_curve_left,0
2320,23.2,-0.2022,0.3264,0.3839,0.1816,1.6161,0.9001,0.8287,curve,roam_curve_left,0
