time_s,step,contact_number,phase,x_m,y_m,z_m,vx_m_s,vy_m_s,gap_to_wall_cm
4.25,425,2,approach,4.37857766829079,1.0707228035712193,0.18438803269420836,1.5163570334713758,-0.40065883399421237,137.07228035712194
4.26,426,2,approach,4.393796062153652,1.0664621799688405,0.18423522373961634,1.5267497932135063,-0.4402808420114973,136.64621799688405
4.2700000000000005,427,2,approach,4.409150670687859,1.061831961271932,0.18488435977251583,1.5403483121704908,-0.46920447325418235,136.1831961271932
4.28,428,2,approach,4.424474774112597,1.0573706678354757,0.18557530667046976,1.5265250411954359,-0.4270700385920394,135.7370667835476
4.29,429,2,approach,4.439870373800713,1.0526370221861048,0.185969204944073,1.5457438565130044,-0.49677042326398463,135.2637022186105
4.3,430,2,approach,4.4551830878973995,1.0477707996263148,0.18632904146248408,1.5228957291305822,-0.4764282361790798,134.7770799626315
4.3100000000000005,431,2,approach,4.47050990665755,1.0425583352922938,0.18675439807045838,1.5392269679160824,-0.5437428602503852,134.2558335292294
4.32,432,2,approach,4.485813815662049,1.0372524136556671,0.18713914080755775,1.5258130001875152,-0.5184956040446229,133.72524136556672
4.33,433,2,approach,4.501025090325007,1.0319090201627568,0.18728305970339376,1.5178960223176465,-0.5410537396362628,133.1909020162757
4.34,434,2,approach,4.516434362005387,1.0266253096670959,0.18708465204533853,1.5404483326763647,-0.49437800381714314,132.6625309667096
4.3500000000000005,435,2,approach,4.531892272032244,1.0208741664380296,0.18661240981691543,1.541264196911697,-0.5798079633655208,132.08741664380298
4.36,436,2,approach,4.547273967305728,1.0149519968161513,0.1863003265850766,1.5372320874756913,-0.5971507863052747,131.49519968161513
4.37,437,2,approach,4.56266873413116,1.008769145107806,0.18629033508238904,1.5417864297727906,-0.6290407433361224,130.8769145107806
4.38,438,2,approach,4.577917521216746,1.0026978722991533,0.18632916265253133,1.5171046867559856,-0.5894166058259392,130.26978722991532
4.39,439,2,approach,4.593320281686402,0.9963108684179949,0.18596618915372434,1.5549830301209602,-0.6621752151648755,129.6310868417995
4.4,440,2,approach,4.608730387605375,0.989921872154689,0.18518007249728,1.5331750060285485,-0.624700717283548,128.9921872154689
4.41,441,2,approach,4.6241728471946,0.9833297694168931,0.18435758405434238,1.5500640541312571,-0.6800543299124204,128.33297694168934
4.42,442,2,approach,4.639316344327304,0.9768430506333833,0.18392076301039967,1.4907358336389411,-0.6242003414414963,127.68430506333834
4.43,443,2,approach,4.654714982012417,0.9698754898756249,0.18385591518621297,1.5411405981472175,-0.7016668085956105,126.9875489875625
